ARO Accession,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name
3001034,TEM-168,TEM-168,ACR22829.1,FJ919776.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-168
3000994,TEM-130,TEM-130,CAI29263.1,AJ866988.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-130
3001437,OXA-67,OXA-67,ABF50983.1,DQ491200.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-67
3000948,TEM-81,TEM-81,AAL29433.1,AF427127.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-81
3001674,OXA-249,OXA-249,CCJ32597.1,HE963770.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-249
3001344,SHV-143,SHV-143,AFQ32277.1,JQ341060.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-143
3002367,PER-5,PER-5,WP_063864594.1,NG_049964.1,PER beta-lactamase,carbapenem;cephalosporin;monobactam;penam;penem,antibiotic inactivation,PER-5
3002027,CMY-16,CMY-16,CAH03679.1,AJ781421.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-16
3003117,OXA-421,OXA-421,AIZ00987.1,KM401566.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-421
3002331,GES-2,GES-2,AAK58421.1,AF326355.1,GES beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,GES-2
3001153,SHV-104,SHV-104,ABX71158.1,EU274581.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-104
3002603,aadA3,aadA3,AAC14728.1,AF047479.2,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA3
3000861,rmtC,rmtC,AIA09786.1,KJ476816.1,16S rRNA methyltransferase (G1405),aminoglycoside antibiotic,antibiotic target alteration,rmtC
3001836,ACT-14,ACT-14,AFU25647.1,JX440354.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-14
3002982,amrA,amrA,CAH35803.1,BX571965.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,amrA
3002033,CMY-22,CMY-22,ABB72431.1,DQ256079.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-22
3002875,dfrE,dfrE,EOD99669.1,AIIS01000002.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,dfrE
3003205,Erm(43),Erm(43),CCF55073.1,HE650138.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Erm(43)
3002650,APH(3')-Vb,APH(3')-Vb,AAC32025.1,M22126.1,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,APH(3')-Vb
3000375,ErmB,ErmB,AAF86219.1,AF242872.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,ErmB
3003066,smeR,smeR,AAD51348.1,AF173226.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;cephamycin;penam,antibiotic efflux,smeR
3001645,OXA-78,OXA-78,AAW81358.1,AY862132.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-78
3000391,norA,norA,AAS68233.1,AY566250.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,norA
3001182,SHV-140,SHV-140,AEK80394.1,JN051143.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-140
3002283,VIM-13,VIM-13,ABC94518.1,DQ365886.1,VIM beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,VIM-13
3003154,SHV-187,SHV-187,CEA29750.1,LN515533.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-187
3000816,mtrA,mtrA,CCP46065.1,AL123456.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic;penam,antibiotic efflux,mtrA
3002453,OKP-B-20,OKP-B-20,CAP12360.2,AM850922.2,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation,OKP-B-20
3002628,aad(6),aad(6),AAU10334.1,AY712687.1,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,aad(6)
3001924,CTX-M-63,CTX-M-63,BAD90119.1,AB205197.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-63
3002731,QnrB16,QnrB16,ABV66096.1,EU136183.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB16
3001839,ACT-18,ACT-18,AHM76777.1,KF992028.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-18
3000172,FosB,FosB,AAP08996.1,AE016877.1,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation,FosB
3001475,OXA-183,OXA-183,ADV41666.1,HQ111474.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-183
3001483,OXA-205,OXA-205,AEO92079.1,JF800667.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-205
3001159,SHV-110,SHV-110,AEK48094.1,HQ877615.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-110
3001627,OXA-91,OXA-91,ABF47914.1,DQ519086.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-91
3001412,OXA-17,OXA-17,ABI63579.1,DQ902344.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-17
3002586,AAC(6')-32,AAC(6')-32,ABR10839.1,EF614235.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-32
3001170,SHV-123,SHV-123,ACV32633.1,GQ390805.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-123
3002723,QnrB9,QnrB9,ABP88094.1,EF526508.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB9
3002685,catIII,catIII,CAA30695.1,X07848.1,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catIII
3001823,ACT-3,ACT-3,ABL67017.1,EF125013.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-3
3002861,dfrA5,dfrA5,ABB89122.1,DQ278190.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,dfrA5
3002803,QnrVC6,QnrVC6,AGH08253.1,KC202804.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrVC6
3002086,CMY-73,CMY-73,ACU00152.1,GQ351345.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-73
3001894,CTX-M-32,CTX-M-32,CAD89606.1,AJ557142.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-32
3001405,OXA-10,OXA-10,AAG45720.1,AF205943.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-10
3002765,QnrB50,QnrB50,AFU25656.1,JX440357.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB50
3002365,PER-3,PER-3,AAU89132.1,AY740681.1,PER beta-lactamase,carbapenem;cephalosporin;monobactam;penam;penem,antibiotic inactivation,PER-3
3002742,QnrB27,QnrB27,ADM52186.1,HM439641.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB27
3002077,CMY-64,CMY-64,ADW84690.1,HQ832678.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-64
3002859,dfrA14,dfrA14,AHK10285.1,KF921535.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,dfrA14
3002070,CMY-99,CMY-99,AGU59995.1,KF305673.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-99
3003440,mecB,mecB,BAI83385.1,AB498758.1,methicillin resistant PBP2,carbapenem;cephalosporin;cephamycin;monobactam;penam,antibiotic target replacement,mecB
3001419,OXA-24,OXA-24,AAM34291.1,AF509241.1,OXA beta-lactamase,carbapenem;cephalosporin;monobactam;penam,antibiotic inactivation,OXA-24
3001061,SHV-2A,SHV-2A,CAA66730.1,X98102.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-2A
3001439,OXA-101,OXA-101,CAL85435.1,AM412777.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-101
3001081,SHV-23,SHV-23,AAF34337.1,AF117747.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-23
3002482,LRA-1,LRA-1,ACH58980.1,EU408346.1,class A LRA beta-lactamase,cephalosporin;penam,antibiotic inactivation,LRA-1
3002575,AAC(6')-Iai,AAC(6')-Iai,ACI28880.1,EU886977.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iai
3001140,SHV-86,SHV-86,ABC58727.1,DQ328802.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-86
3001945,CTX-M-84,CTX-M-84,ACI29346.1,FJ214367.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-84
3003101,cphA5,cphA5,AAP69913.1,AY227051.1,CphA beta-lactamase,carbapenem,antibiotic inactivation,cphA5
3001879,CTX-M-16,CTX-M-16,AAK32961.1,AY029068.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-16
3002787,QnrC,QnrC,ACK75961.1,EU917444.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrC
3001798,OXA-74,OXA-74,CAH69530.1,AJ854182.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-74
3002382,SME-4,SME-4,AHA49908.1,KF481967.1,SME beta-lactamase,carbapenem,antibiotic inactivation,SME-4
3000594,ErmR,ErmR,AAU93796.1,AY623658.2,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,ErmR
3002049,CMY-38,CMY-38,CAP60699.1,AM931008.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-38
3001054,TEM-194,TEM-194,AFC75524.1,JN935136.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-194
3002635,APH(2'')-IIa,APH(2'')-IIa,AAK63040.1,AF337947.1,APH(2''),aminoglycoside antibiotic,antibiotic inactivation,APH(2'')-IIa
3002009,CTX-M-152,CTX-M-152,AHY20039.1,KJ461948.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-152
3002907,vanE,vanE,AAL27442.1,FJ872411.1,Van ligase;glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration,vanE
3001549,OXA-362,OXA-362,AHA11125.1,KF460532.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-362
3000582,L1 beta-lactamase,L1 beta-lactamase,CAB75346.1,AJ272109.1,L1 family beta-lactamase,cephalosporin,antibiotic inactivation,L1_BLA
3003164,CTX-M-156,CTX-M-156,AIS67612.1,KM211509.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-156
3001103,SHV-45,SHV-45,AAN39364.1,AF547625.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-45
3002897,SAT-4,SAT-4,AAB53445.1,U01945.1,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation,SAT-4
3000801,MexD,MexD,AAB41957.1,U57969.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux,MexD
3000569,tet(41),tet(41),AAP93922.1,AY264780.2,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,tet(41)
3003194,GIM-2,GIM-2,AIY26289.1,KM659858.1,GIM beta-lactamase,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem,antibiotic inactivation,GIM-2
3002882,lmrD,lmrD,AYV52072.1,CP033607.1,ATP-binding cassette (ABC) antibiotic efflux pump,lincosamide antibiotic,antibiotic efflux,lmrD
3001473,OXA-179,OXA-179,ADM26744.1,HM570035.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-179
3002833,vgaE,vgaE,CBY88983.1,FR772051.1,vga-type ABC-F protein,lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target protection,vgaE
3001955,CTX-M-95,CTX-M-95,CBL80615.1,FN813245.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-95
3001193,SHV-154,SHV-154,AFQ23960.1,JX121121.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-154
3001056,TEM-197,TEM-197,AEK48085.1,HQ877606.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-197
3002204,IMP-13,IMP-13,CAD80251.1,AJ550807.1,IMP beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,IMP-13
3001932,CTX-M-71,CTX-M-71,ACV92002.1,FJ815436.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-71
3001915,CTX-M-53,CTX-M-53,ABB72225.1,DQ268764.2,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-53
3002687,catQ,catQ,AAA23215.1,M55620.1,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catQ
3003564,EXO-1,EXO-1,AAA26775.1,M28303.1,EXO beta-lactamase,penam,antibiotic inactivation,EXO-1
3002952,vanX gene in vanF cluster,vanX gene in vanF cluster,AAF36804.1,AF155139.2,glycopeptide resistance gene cluster;vanX,glycopeptide antibiotic,antibiotic target alteration,vanX_in_vanF_cl
3002922,vanR gene in vanC cluster,vanR gene in vanC cluster,AAF86641.1,AF162694.1,glycopeptide resistance gene cluster;vanR,glycopeptide antibiotic,antibiotic target alteration,vanR_in_vanC_cl
3000843,MUS-1,MUS-1,AAN63647.1,AF441286.1,MUS beta-lactamase,carbapenem,antibiotic inactivation,MUS-1
3003070,vanX gene in vanD cluster,vanX gene in vanD cluster,AAM09852.1,AY082011.1,glycopeptide resistance gene cluster;vanX,glycopeptide antibiotic,antibiotic target alteration,vanX_in_vanD_cl
3003039,OprA,OprA,BAM10414.1,AB639410.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;carbapenem;fluoroquinolone antibiotic;macrolide antibiotic;tetracycline antibiotic,antibiotic efflux,OprA
3002935,vanS gene in vanE cluster,vanS gene in vanE cluster,AAL27446.1,FJ872411.1,glycopeptide resistance gene cluster;vanS,glycopeptide antibiotic,antibiotic target alteration,vanS_in_vanE_cl
3002091,CMY-78,CMY-78,AFK73443.1,JQ733575.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-78
3002770,QnrB57,QnrB57,AFR46588.1,JX259318.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB57
3002189,MOX-7,MOX-7,ACS44785.1,GQ152602.1,MOX beta-lactamase,cephalosporin;cephamycin;penam,antibiotic inactivation,MOX-7
3002122,CMY-111,CMY-111,AHW47897.1,KJ155695.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-111
3001138,SHV-84,SHV-84,CAJ32371.1,AM087453.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-84
3002179,MIR-14,MIR-14,AIT76117.1,KM087864.1,MIR beta-lactamase,cephalosporin;monobactam,antibiotic inactivation,MIR-14
3001664,OXA-203,OXA-203,ADX07748.1,HQ998857.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-203
3002816,clbC,clbC,BAD63613.1,AP006627.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,clbC
3002985,arnA,arnA,AAG06942.1,AE004091.2,ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase,macrolide antibiotic;peptide antibiotic,antibiotic efflux;antibiotic target alteration;resistance by absence,arnA
3001124,SHV-70,SHV-70,AAY42633.1,DQ013287.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-70
3001828,ACT-23,ACT-23,AGU38146.1,KF515536.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-23
3001003,TEM-139,TEM-139,AAZ23494.1,DQ072853.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-139
3001865,CTX-M-2,CTX-M-2,AAZ95872.1,DQ125241.2,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-2
3002152,DHA-21,DHA-21,AIT76100.1,KM087847.1,DHA beta-lactamase,cephalosporin;cephamycin,antibiotic inactivation,DHA-21
3002026,CMY-15,CMY-15,CAD88477.1,AJ555823.2,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-15
3002553,AAC(6')-If,AAC(6')-If,CAA39038.1,X55353.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-If
3002211,IMP-20,IMP-20,BAD81061.1,AB196988.1,IMP beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,IMP-20
3002972,vanT gene in vanG cluster,vanT gene in vanG cluster,ABA71733.1,DQ212986.1,glycopeptide resistance gene cluster;vanT,glycopeptide antibiotic,antibiotic target alteration,vanT_in_vanG_cl
3002926,vanR gene in vanG cluster,vanR gene in vanG cluster,ABA71727.1,DQ212986.1,glycopeptide resistance gene cluster;vanR,glycopeptide antibiotic,antibiotic target alteration,vanR_in_vanG_cl
3000192,tet(S),tet(S),AAA25293.1,L09756.1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,tet(S)
3002559,AAC(6')-Ip,AAC(6')-Ip,CAA91010.1,Z54241.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ip
3001147,SHV-95,SHV-95,ABN49113.1,EF373972.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-95
3000980,TEM-117,TEM-117,AAN05026.1,AY130282.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-117
3001940,CTX-M-79,CTX-M-79,ABO09821.1,EF426798.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-79
3002594,AAC(6')-IIa,AAC(6')-IIa,AAM92464.1,AY123251.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIa
3002437,OKP-B-4,OKP-B-4,CAJ19612.1,AM051153.1,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation,OKP-B-4
3001503,OXA-258,OXA-258,CCE73593.2,HE614014.2,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-258
3001561,OXA-375,OXA-375,AHL30275.1,KF986256.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-375
3002247,CARB-8,CARB-8,AAO59455.1,AY178993.1,CARB beta-lactamase,penam,antibiotic inactivation,CARB-8
3002450,OKP-B-17,OKP-B-17,CAP12357.2,AM850919.2,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation,OKP-B-17
3001815,ACC-1,ACC-1,CAB46491.1,AJ133121.1,ACC beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation,ACC-1
3000782,adeK,adeK,AAX14803.1,AY769962.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux,adeK
3000823,ramA,ramA,AFK13828.1,JQ727668.1,General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;monobactam;penam;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux;reduced permeability to antibiotic,ramA
3000947,TEM-80,TEM-80,AAM15527.1,AF347054.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-80
3002081,CMY-68,CMY-68,AEZ49855.1,JN714480.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-68
3001388,TEM-211,TEM-211,AHA80960.1,KF513179.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-211
3002712,QnrA6,QnrA6,AAZ78355.1,DQ151889.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrA6
3002564,AAC(6')-It,AAC(6')-It,AAD03492.1,AF031328.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-It
3001868,CTX-M-5,CTX-M-5,AAC32890.1,U95364.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-5
3002347,GES-18,GES-18,AEX59144.1,JQ028729.1,GES beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,GES-18
3001671,OXA-49,OXA-49,AAP40270.1,AY288523.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-49
3000533,macA,macA,AAV85981.1,AY768531.1,ATP-binding cassette (ABC) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,macA
3002656,APH(4)-Ib,APH(4)-Ib,CAA52372.1,X74325.1,APH(4),aminoglycoside antibiotic,antibiotic inactivation,APH(4)-Ib
3002621,aadA24,aadA24,ABG72894.1,DQ677333.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA24
3002779,QnrB67,QnrB67,AGL43628.1,KC580656.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB67
3002465,LEN-18,LEN-18,CAP12346.2,AM850908.2,LEN beta-lactamase,penam;penem,antibiotic inactivation,LEN-18
3001098,SHV-40,SHV-40,AAN04882.1,AF535128.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-40
3001428,OXA-34,OXA-34,AAK15582.1,AF350424.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-34
3001950,CTX-M-90,CTX-M-90,ACQ99521.1,FJ907381.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-90
3001688,OXA-317,OXA-317,AGU69255.1,KF057034.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-317
3002042,CMY-31,CMY-31,ABR18736.1,EF622224.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-31
3001006,TEM-143,TEM-143,AAY85632.1,DQ075245.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-143
3001540,OXA-353,OXA-353,AGW83451.1,KF297582.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-353
3002138,DHA-5,DHA-5,AEL22919.1,JF273491.1,DHA beta-lactamase,cephalosporin;cephamycin,antibiotic inactivation,DHA-5
3000999,TEM-135,TEM-135,CAG25427.1,AJ634602.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-135
3002519,OCH-6,OCH-6,CAC17626.1,AJ295344.1,OCH beta-lactamase,cephalosporin;cephamycin;monobactam;penam;penem,antibiotic inactivation,OCH-6
3001848,ACT-28,ACT-28,AHL39333.1,KJ207206.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-28
3000602,Erm(39),Erm(39),AAR92235.1,AY487229.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Erm(39)
3002166,MIR-1,MIR-1,AAD22636.1,M37839.2,MIR beta-lactamase,cephalosporin;monobactam,antibiotic inactivation,MIR-1
3003207,FosK,FosK,BAO79518.1,AB917040.2,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation,FosK
3002068,CMY-57,CMY-57,ADP37961.1,HQ285243.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-57
3001160,SHV-111,SHV-111,BAF95849.1,AB372881.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-111
3001803,OXA-142,OXA-142,ABY79006.1,EU358785.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-142
3002718,QnrB4,QnrB4,ABC17630.3,DQ303921.2,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB4
3000978,TEM-115,TEM-115,AAN04881.1,AF535127.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-115
3002993,AQU-1,AQU-1,BAM76830.1,AB765395.1,AQU beta-lactamase,cephalosporin,antibiotic inactivation,AQU-1
3002232,IMP-41,IMP-41,BAM62795.1,AB753458.1,IMP beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,IMP-41
3001306,ErmW,ErmW,BAA03402.1,D14532.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration,ErmW
3001785,OXA-73,OXA-73,AAW22056.1,AY762325.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-73
3001584,OXA-398,OXA-398,AIT76095.1,KM087842.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-398
3001693,OXA-230,OXA-230,AFM55002.1,JQ422054.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-230
3003009,ceoA,ceoA,AAB58160.1,U97042.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic efflux,ceoA
3000343,tap,tap,CAA03986.1,AJ000283.1,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,tap
3001375,TEM-184,TEM-184,CCA61905.1,FR848831.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-184
3002235,IMP-44,IMP-44,BAM98942.1,AB777501.1,IMP beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,IMP-44
3000964,TEM-101,TEM-101,AAM18924.1,AF495873.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-101
3002158,FOX-4,FOX-4,CAB89086.1,AJ277535.1,FOX beta-lactamase,cephalosporin;cephamycin,antibiotic inactivation,FOX-4
